DeformableTransformer_mean_weight,DeformableTransformer_top1_token_frac,LocalConvTransformer_mean_weight,LocalConvTransformer_top1_token_frac,WindowTransformer_mean_weight,WindowTransformer_top1_token_frac,density,image,module,object_count,occlusion,scale,shape,top_expert
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_02999_d_0000005.jpg,model.14.m.0,127,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_02999_d_0000005.jpg,model.14.m.1,127,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_02999_d_0000005.jpg,model.20.m.0,127,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_02999_d_0000005.jpg,model.20.m.1,127,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_02999_d_0000005.jpg,model.23.m.0,127,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_02999_d_0000005.jpg,model.23.m.1,127,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_03499_d_0000006.jpg,model.14.m.0,77,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_03499_d_0000006.jpg,model.14.m.1,77,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_03499_d_0000006.jpg,model.20.m.0,77,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_03499_d_0000006.jpg,model.20.m.1,77,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_03499_d_0000006.jpg,model.23.m.0,77,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_03499_d_0000006.jpg,model.23.m.1,77,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_03999_d_0000007.jpg,model.14.m.0,48,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_03999_d_0000007.jpg,model.14.m.1,48,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_03999_d_0000007.jpg,model.20.m.0,48,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_03999_d_0000007.jpg,model.20.m.1,48,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_03999_d_0000007.jpg,model.23.m.0,48,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_03999_d_0000007.jpg,model.23.m.1,48,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_04527_d_0000008.jpg,model.14.m.0,115,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_04527_d_0000008.jpg,model.14.m.1,115,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_04527_d_0000008.jpg,model.20.m.0,115,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_04527_d_0000008.jpg,model.20.m.1,115,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_04527_d_0000008.jpg,model.23.m.0,115,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_04527_d_0000008.jpg,model.23.m.1,115,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05249_d_0000009.jpg,model.14.m.0,113,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05249_d_0000009.jpg,model.14.m.1,113,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05249_d_0000009.jpg,model.20.m.0,113,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05249_d_0000009.jpg,model.20.m.1,113,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05249_d_0000009.jpg,model.23.m.0,113,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05249_d_0000009.jpg,model.23.m.1,113,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05499_d_0000010.jpg,model.14.m.0,140,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05499_d_0000010.jpg,model.14.m.1,140,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05499_d_0000010.jpg,model.20.m.0,140,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05499_d_0000010.jpg,model.20.m.1,140,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05499_d_0000010.jpg,model.23.m.0,140,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05499_d_0000010.jpg,model.23.m.1,140,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05999_d_0000011.jpg,model.14.m.0,115,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05999_d_0000011.jpg,model.14.m.1,115,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05999_d_0000011.jpg,model.20.m.0,115,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05999_d_0000011.jpg,model.20.m.1,115,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05999_d_0000011.jpg,model.23.m.0,115,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_05999_d_0000011.jpg,model.23.m.1,115,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_07999_d_0000012.jpg,model.14.m.0,136,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_07999_d_0000012.jpg,model.14.m.1,136,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_07999_d_0000012.jpg,model.20.m.0,136,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_07999_d_0000012.jpg,model.20.m.1,136,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_07999_d_0000012.jpg,model.23.m.0,136,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_07999_d_0000012.jpg,model.23.m.1,136,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_08414_d_0000013.jpg,model.14.m.0,164,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_08414_d_0000013.jpg,model.14.m.1,164,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_08414_d_0000013.jpg,model.20.m.0,164,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_08414_d_0000013.jpg,model.20.m.1,164,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_08414_d_0000013.jpg,model.23.m.0,164,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000001_08414_d_0000013.jpg,model.23.m.1,164,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00000_d_0000001.jpg,model.14.m.0,31,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00000_d_0000001.jpg,model.14.m.1,31,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00000_d_0000001.jpg,model.20.m.0,31,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00000_d_0000001.jpg,model.20.m.1,31,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00000_d_0000001.jpg,model.23.m.0,31,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00000_d_0000001.jpg,model.23.m.1,31,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00500_d_0000002.jpg,model.14.m.0,17,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00500_d_0000002.jpg,model.14.m.1,17,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00500_d_0000002.jpg,model.20.m.0,17,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00500_d_0000002.jpg,model.20.m.1,17,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00500_d_0000002.jpg,model.23.m.0,17,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00500_d_0000002.jpg,model.23.m.1,17,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00800_d_0000003.jpg,model.14.m.0,7,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00800_d_0000003.jpg,model.14.m.1,7,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00800_d_0000003.jpg,model.20.m.0,7,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00800_d_0000003.jpg,model.20.m.1,7,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00800_d_0000003.jpg,model.23.m.0,7,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000021_00800_d_0000003.jpg,model.23.m.1,7,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_00000_d_0000004.jpg,model.14.m.0,41,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_00000_d_0000004.jpg,model.14.m.1,41,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_00000_d_0000004.jpg,model.20.m.0,41,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_00000_d_0000004.jpg,model.20.m.1,41,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_00000_d_0000004.jpg,model.23.m.0,41,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_00000_d_0000004.jpg,model.23.m.1,41,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_00500_d_0000005.jpg,model.14.m.0,32,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_00500_d_0000005.jpg,model.14.m.1,32,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_00500_d_0000005.jpg,model.20.m.0,32,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_00500_d_0000005.jpg,model.20.m.1,32,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_00500_d_0000005.jpg,model.23.m.0,32,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_00500_d_0000005.jpg,model.23.m.1,32,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_01036_d_0000006.jpg,model.14.m.0,16,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_01036_d_0000006.jpg,model.14.m.1,16,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_01036_d_0000006.jpg,model.20.m.0,16,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_01036_d_0000006.jpg,model.20.m.1,16,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_01036_d_0000006.jpg,model.23.m.0,16,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_01036_d_0000006.jpg,model.23.m.1,16,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_01251_d_0000007.jpg,model.14.m.0,12,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_01251_d_0000007.jpg,model.14.m.1,12,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_01251_d_0000007.jpg,model.20.m.0,12,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_01251_d_0000007.jpg,model.20.m.1,12,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_01251_d_0000007.jpg,model.23.m.0,12,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000022_01251_d_0000007.jpg,model.23.m.1,12,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00000_d_0000008.jpg,model.14.m.0,40,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00000_d_0000008.jpg,model.14.m.1,40,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00000_d_0000008.jpg,model.20.m.0,40,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00000_d_0000008.jpg,model.20.m.1,40,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00000_d_0000008.jpg,model.23.m.0,40,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00000_d_0000008.jpg,model.23.m.1,40,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00300_d_0000009.jpg,model.14.m.0,30,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00300_d_0000009.jpg,model.14.m.1,30,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00300_d_0000009.jpg,model.20.m.0,30,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00300_d_0000009.jpg,model.20.m.1,30,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00300_d_0000009.jpg,model.23.m.0,30,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00300_d_0000009.jpg,model.23.m.1,30,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00868_d_0000010.jpg,model.14.m.0,20,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00868_d_0000010.jpg,model.14.m.1,20,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00868_d_0000010.jpg,model.20.m.0,20,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00868_d_0000010.jpg,model.20.m.1,20,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00868_d_0000010.jpg,model.23.m.0,20,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_00868_d_0000010.jpg,model.23.m.1,20,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_01233_d_0000011.jpg,model.14.m.0,14,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_01233_d_0000011.jpg,model.14.m.1,14,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_01233_d_0000011.jpg,model.20.m.0,14,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_01233_d_0000011.jpg,model.20.m.1,14,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_01233_d_0000011.jpg,model.23.m.0,14,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000023_01233_d_0000011.jpg,model.23.m.1,14,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000024_00000_d_0000012.jpg,model.14.m.0,21,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000024_00000_d_0000012.jpg,model.14.m.1,21,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000024_00000_d_0000012.jpg,model.20.m.0,21,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000024_00000_d_0000012.jpg,model.20.m.1,21,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000024_00000_d_0000012.jpg,model.23.m.0,21,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000024_00000_d_0000012.jpg,model.23.m.1,21,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000024_00500_d_0000013.jpg,model.14.m.0,10,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000024_00500_d_0000013.jpg,model.14.m.1,10,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000024_00500_d_0000013.jpg,model.20.m.0,10,unknown,small,irregular,LocalConvTransformer
